mode_of_travel,origin_zone_name,destination_zone_name,day_type,day_part,data_period,o_d_traffic_sample_trip_counts,o_d_traffic_calibrated_trip_volume
All Vehicles - StL All Vehicles Sample Trip Counts,110080_0,110200_0,1: Weekday (Tu-Th),2: Peak AM (6am-9am),3. Dec-Feb,22,15.95
All Vehicles - StL All Vehicles Sample Trip Counts,110113_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110144_0,110200_0,1: Weekday (Tu-Th),2: Peak AM (6am-9am),3. Dec-Feb,17,12.325
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110194_0,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,19,13.775
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110201_0,2: Weekend Day (Sa-Su),0: All Day (12am-12am),3. Dec-Feb,9,10.44
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,570065_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,15,4.833333333333333
All Vehicles - StL All Vehicles Sample Trip Counts,110089_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,16,5.1555555555555559
All Vehicles - StL All Vehicles Sample Trip Counts,110122_0,110200_0,1: Weekday (Tu-Th),3: Mid-Day (9am-3pm),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110084_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,13,4.1888888888888891
All Vehicles - StL All Vehicles Sample Trip Counts,110208_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,10,3.2222222222222223
All Vehicles - StL All Vehicles Sample Trip Counts,110144_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,31,9.9888888888888889
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110183_0,0: All Days (Mo-Su),5: Late PM (6pm-12am),3. Dec-Feb,11,3.5444444444444443
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110206_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,4,4.64
All Vehicles - StL All Vehicles Sample Trip Counts,110204_0,110200_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,12,3.8666666666666667
All Vehicles - StL All Vehicles Sample Trip Counts,110277_0,110200_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,6,6.96
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110166_0,0: All Days (Mo-Su),0: All Day (12am-12am),3. Dec-Feb,16,5.1555555555555559
All Vehicles - StL All Vehicles Sample Trip Counts,110101_0,110200_0,2: Weekend Day (Sa-Su),4: Peak PM (3pm-6pm),3. Dec-Feb,8,9.28
All Vehicles - StL All Vehicles Sample Trip Counts,110200_0,110111_0,1: Weekday (Tu-Th),0: All Day (12am-12am),3. Dec-Feb,9,6.525
All Vehicles - StL All Vehicles Sample Trip Counts,110205_1,110200_0,0: All Days (Mo-Su),3: Mid-Day (9am-3pm),3. Dec-Feb,16,5.1555555555555559
